ano;tipo_periodo;justica;sigla;dsc_tribunal;h1;h2;me;pib;gt;dpj;drh;drem;dben;denc;dter;dest;dip;dbs;dpe;dpea;dpei;dcca;dct;dk;dinf1;dinf2;dinf3;dinf;vpag;depjud;r;comp;ui;m2total;m2util;m2util2;mldisparq;m2util1;mlutilarq;ftt;tpreq;tfaux;ts;tpefet;tpced;tpsv;tpreqpj;tpreqfpj;tfauxt;tfauxe;tcefet;tcc;tfc;ts2;tpreq2;tfaux2;tpefet2;tpsv2;tpreqpj2;tpreqfpj2;tfauxt2;tfauxe2;ts1;tpreq1;tfaux1;tpefet1;tpsv1;tpreqpj1;tpreqfpj1;tfauxt1;tfauxe1;mag;mag2;mag1;mage;mage2;mage1;magp2;magp1;magaj1;sajud;sajud2;sajud1;cnelet;cnelet2;cnelet1;cn;cnc;cnex;cn2;cncrim2;cnncrim2;cn1;cnc1;cnccrim1;cncncrim1;cnex1;cp;cpc;cpex;cp2;cpcrim2;cpncrim2;cp1;cpc1;cpccrim1;cpcncrim1;cpex1;tbaix;tbaixc;tbaixex;tbaix2;tbaixcrim2;tbaixncrim2;tbaix1;tbaixc1;tbaixccrim1;tbaixcncrim1;tbaixex1;sent;sentc;sentex;dec2;deccrim2;decncrim2;sent1;sentc1;sentccrim1;sentcncrim1;sentex1;exejud1;exejudcrim1;exejudncrim1;exejudp1;exejudpcrim1;exejudpncrim1;tbaixjud1;tbaixjudcrim1;tbaixjudncrim1;sentjud1;sentjudcrim1;sentjudncrim1;rp2;rj2;rint;rint2;rintc1;rintinc;rintp;rintp2;rintcp1;rintincp;rsup2;apublic2;derint2;rsup1;derext1;serint1;rpai2;rpesp2;rpext2;rjesp2;rjai2;rjext2;rpai1;rpap1;rjai1;rjap1;dem;jg;cnpf2;cnpf1;cnpe2;cnpe1;cnpm2;cnpm1;cppf2;cppf1;cppe2;cppe1;cppm2;cppm1;cncf2;cncf1;cnce2;cnce1;cncm2;cncm1;cpcf2;cpcf1;cpce2;cpce1;cpcm2;cpcm1;dgovp2;dgovp1;dgovc2;dgovc1;g1;g2;g3;g4;g5;g5a;g5b;g6;g7;inf1;i;i1;i5;i6;f1;f2;f3;f4a;f4b;f4c;f4d;inf2;dm2;pm2;procml;ch;ch2;ch1;cm;cm2;cm1;cs;cs2;cs1;k;k2;kc1;kex1;k1;tc;tc2;tcc1;tcex1;tc1;sm;sm2;smc1;smex1;sm1;procel;procel2;iad;iad2;iadc1;iadex1;iad1;rx2;rx1;rin2;rin1;rd2;rd1;rd1ap;a1;a2
2011;Ano;Militar Estadual;TJMRS;TJM - Rio Grande do Sul;10733030;107,3303;71;263633397841;36097512951,83;21061100,64;21115592,31;19616648,64;286901;720790,84;159821,31;173202;158228,52;0;19616648,64;11480127,73;8136520,91;1444452;1361980;82472;125270;0;129942,74;255212,74;0;nd;nd;120;120;3764;2416;875;136;1540;136;128;33;35;116;28;0;20;0;33;11;24;58;0,363157894736842;0;78;29;23;6;20;0;29;8;15;39;5;12;22;0;0;5;3;9;12;6;6;15;7;8;6;7;1;41;19;22;0;0;0;1613;780;833;382;288;94;1231;398;335;63;833;1088;740;348;95;77;18;993;645;579;66;348;1130;968;162;447;342;105;683;521;399;122;162;1337;915;422;489;376;113;848;426;357;69;422;833;819;14;348;340;8;162;159;3;422;356;66;14;27;11;7;4;11;3;3;0;3;76;405;18;220;1174;4;0;13;1;22;0;5;16;41;27;231;760;94;0;0;34;0;0;0;0;0;14;0;0;0;0;0;37;0;0;0;0;0;12;0;0;0;48;0;49;0;7,98878321657189e-05;0,000583450185837035;1,00258731349949;0;0,9314161199507;0,545086789443308;0,386329330507392;0,0685838800493002;1,96226980079251;0,0121177304245577;nd;nd;0;nd;33,2549993349;26,60399946792;257,17199485656;62,07599875848;195,09599609808;128,58599742828;0,448275862068966;1;0,641870350690754;0,0529801324503311;1;1729,2599654148;846,89398306212;882,36598235268;65;63,6666666666667;66,3333333333333;19,0243902439024;20,1052631578947;18,0909090909091;226,25;81,1666666666667;174,5;196,833333333333;371,333333333333;0,581636430951499;0,0628930817610063;0,500479386385427;0,862828111769687;0,692895683453237;111,416666666667;81,5;71;70,3333333333333;141,333333333333;0;0;0,700557966522009;1,17015706806283;1,30904522613065;0,194477791116447;0,554833468724614;0,187654320987654;0,187393526405451;0,388888888888889;1;0,518518518518518;0,22093023255814;0,177489177489178;4,46320454029225e-06;208,39799583204
2011;Ano;Militar Estadual;TJMSP;TJM - São Paulo;41587182;415,87182;21;1349465140044;159949788187,88;39611020;34237273,32;25920582,1;2998948,97;4317115,91;11000;111434,52;878191,82;3416973,74;33611757;26096701,02;7515055,98;4046079,71;3289583,77;756495,94;121489,25;351156,45;71780,63;544426,33;0;0;2356203,55;269;245;6857;5814;1088;3033;1112;3110;287;0;33;273;240;0;0;0;0;11;22;322;0,523118159481796;3;37;0;2;35;0;0;0;0;2;108;0;20;88;0;0;0;0;20;14;7;7;14;7;7;7;7;0;123;35;88;0;0;0;2000;1670;330;888;395;493;1112;782;311;471;330;3267;2807;460;1483;496;987;1784;1324;686;638;460;2445;2135;310;1199;485;714;1246;936;418;518;310;3330;2259;1071;1352;528;824;1978;907;348;559;1071;330;262;68;460;381;79;310;236;74;1071;998;73;6;70;244;242;2;273;10;10;0;18;388;1158;1321;632;5101;940;4;1;1;29;34;7;1;77;34;796;614;nd;0;0;50;0;0;0;0;0;72;0;0;0;0;0;449;471;0;0;0;0;208;717;0;0;122;0;657;1188;2,93531257863456e-05;0,000247646592401061;0,864337078923996;0,086263210086486;0,848545606752868;0,658824262036171;0,189721344716698;0,102145304766199;0,952481464120363;0,0137443148396583;0,0594835363997191;0,0594835363997191;0;0;9,67117988394584;9,67117988394584;188,588007736944;165,791655153357;22,7963525835866;222,437137330754;0,257763975155279;1,09795918367347;0,847892664430509;0,0493636050911593;1,02538740520936;1153,63360044211;613,429124067422;540,204476374689;119,285714285714;126,857142857143;111,714285714286;13,5772357723577;25,3714285714286;8,88636363636364;397;374,714285714286;301,142857142857;118,142857142857;419,285714285714;0,535788874121891;0,494306199915647;0,555555555555556;0,607594936708861;0,56975138121547;237,857142857143;193,142857142857;129,571428571429;153;282,571428571429;0;0;1,2225;1,35022522522523;1,19693094629156;0,939393939393939;1,1205035971223;0,335060449050086;0,123897275044109;0,183194549583649;0,00212765957446809;0,0857142857142857;0,0939759036144578;0,0967336683417085;nd;nd
2011;Ano;Militar Estadual;TJMMG;TJM - Minas Gerais;19728701;197,28701;91;386155622308;54401076276,33;31280258,42;28902730,94;25487620;701799,43;2064115,54;343648;37555;267992,97;2380927,28;28253535;19761309,97;8492225,47;2685131,66;2276194,66;408937;457721,3;906814,44;9644,8;1374180,54;0;0;1150,23;183;183;2830;2497;1258;1355;1239;1355;183;37;22;170;82;0;29;1;36;14;8;88;0,410382178622522;0;120;33;12;48;27;1;32;7;5;50;4;10;34;2;0;4;7;3;13;7;6;13;7;6;7;6;0;67;22;45;0;0;0;3598;3093;505;1209;158;1051;2389;1884;800;1084;505;2215;1800;415;275;41;234;1940;1525;895;630;415;3211;2885;326;1276;163;1113;1935;1609;697;912;326;2778;2616;162;1241;167;1074;1537;1375;214;1161;162;505;17;488;415;55;360;326;32;294;162;19;143;nd;nd;139;139;nd;146;7;7;nd;7;140;855;1491;963;6377;1347;nd;nd;nd;nd;nd;nd;140;446;193;917;1125;0;0;0;407;0;0;0;0;0;13;0;0;0;0;0;685;986;0;0;0;0;402;685;0;0;420;0;1087;1671;8,10042806914014e-05;0,000574993374416199;0,92399271617015;0,0761159721902323;0,903238541723019;0,631750214613476;0,271488341175923;0,0858410958102308;1,58552042630683;0,0439312400028439;3,6771755033346e-05;3,6771755033346e-05;0;0;17,3229395695916;17,3229395695916;226,530748217736;109,267772669731;117,262975548005;117,262975548005;0,579545454545455;1;0,882332155477032;0,0732879455346416;1;4121,52708374975;1611,03337997202;2510,49370377773;237,923076923077;172,714285714286;314;46,1641791044776;54,9545454545455;41,8666666666667;458,923076923077;232,857142857143;568,166666666667;154,5;722,666666666667;0,447617409255118;0,140161725067385;0,528014080375477;0,645652173913043;0,553014553014553;213,692307692308;177,285714285714;229,166666666667;27;256,166666666667;0;0;0,892440244580322;1,05541770057899;0,854033970276008;0,645544554455446;0,809962327333612;0,16374269005848;0,151011447389054;0,0932260228034876;nd;nd;0,527927927927928;0,486368593238822;0;0
2011;Ano;Militar Estadual;TJM;Justiça Militar Estadual;72048913;720,48913;NA;1999254160193;159949788187,88;91952379,06;84255596,57;71024850,74;3987649,4;7102022,29;514469,31;322191,52;1304413,31;5797901,02;81481940,64;57338138,72;24143802,36;8175663,37;6927758,43;1247904,94;704480,55;1257970,89;211368,17;2173819,61;0;0;2357353,78;572;548;13451;10727;3221;4524;3891;4601;598;70;90;559;350;0;49;1;69;36;54;468;0,450137741046832;3;235;62;37;89;47;1;61;15;22;197;9;42;144;2;0;9;10;32;39;20;19;42;21;21;20;20;1;231;76;155;0;0;0;7211;5543;1668;2479;841;1638;4732;3064;1446;1618;1668;6570;5347;1223;1853;614;1239;4717;3494;2160;1334;1223;6786;5988;798;2922;990;1932;3864;3066;1514;1552;798;7445;5790;1655;3082;1071;2011;4363;2708;919;1789;1655;1668;1098;570;1223;776;447;798;427;371;1655;1373;282;20;97;394;388;6;430;20;20;0;28;604;2418;2830;1815;12652;2291;4;14;2;51;34;12;157;564;254;1944;2499;94;0;0;491;0;0;0;0;0;99;0;0;0;0;0;1171;1457;0;0;0;0;622;1402;0;0;590;0;1793;2859;4,59933413624225e-05;0,000574882781038703;0,916295993984258;0,0630533008419152;0,886131946481038;0,623563406473542;0,262568544792581;0,0889119286915381;1,27624935937618;0,0236407109008192;0,0332530860289146;0,0256366806829631;0;0;15,8543812827704;14,7219254768583;211,014265168302;132,119844023087;78,8944211452148;176,663105722299;0,341880341880342;1,04379562043796;0,797487175674671;0,0557471800130512;1,01702033598585;2092,40084405706;935,785980952093;1156,61486310497;142,128205128205;123,95;161,263157894737;23,995670995671;32,6184210526316;19,7677419354839;365,102564102564;237;345,473684210526;154,473684210526;499,947368421053;0,507582903998258;0,325484764542936;0,532479414455627;0,723970944309927;0,591067837866441;190,897435897436;154,1;142,526315789474;87,1052631578947;229,631578947368;0;0;0,941062265982527;1,17870108914885;1,00065274151436;0,47841726618705;0,816568047337278;0,249793217535153;0,143455580145432;0,137102473498233;0,00635593220338983;0,206185567010309;0,328025477707006;0,290123456790123;1,7959029281652e-06;35,4836152519148
2012;Ano;Militar Estadual;TJMRS;TJM - Rio Grande do Sul;10770603;107,70603;74;279483209635;40203861122,88;20769644,97;20633848,18;19039407,23;297414,94;688350,01;204722,2;174251,7;229702,1;0;19039407,23;10553600,68;8485806,55;1730237,74;1611501,74;118736;417236,1;0;143750,47;560986,57;0;0;0;120;120;3764;2416;875;136;1540;136;133;34;36;121;29;0;22;0;34;13;23;58;0,48512585812357;0;83;29;26;6;22;0;29;11;15;39;5;11;23;0;0;5;3;8;12;6;6;15;7;8;6;7;1;42;19;23;0;0;0;779;621;158;303;232;71;476;318;237;81;158;1030;690;340;136;125;11;894;554;515;39;340;821;675;146;341;293;48;480;334;265;69;146;997;839;158;404;319;85;593;435;372;63;158;158;158;0;340;337;3;146;146;0;158;158;0;2;25;39;39;0;40;5;5;0;5;19;399;469;168;685;1;0;1;1;10;0;15;2;46;7;208;511;61;0;0;48;0;0;0;0;0;9;0;0;0;0;0;33;0;0;0;0;0;14;0;0;0;57;0;47;0;7,43144641752354e-05;0,000516608215975057;0,993461766429029;0;0,91669391833615;0,508126195476321;0,408567722859829;0,0833060816638504;1,92836417515342;0,0270099258225308;0;0;0;0;32,8083989501312;26,246719160105;264,654418197725;63,4295713035871;201,224846894138;126,859142607174;0,448275862068966;1;0,641870350690754;0,0550496688741722;1;1358,26771653543;662,729658792651;695,538057742782;51,75;50,5;53;14,7857142857143;15,9473684210526;13,8260869565217;154,5;80,5;145,333333333333;83,1666666666667;228,5;0,546158098396904;0,223234624145786;0,61697247706422;0,706827309236948;0,64963503649635;83,0833333333333;67,3333333333333;72,5;26,3333333333333;98,8333333333333;0;0;1,05391527599487;1,12541254125413;1,05031446540881;0,924050632911392;1,00840336134454;0,0476190476190476;0,245255474452555;0,0831556503198294;0;0,08;0,223255813953488;0,221153846153846;2,93697846487551e-06;133,4208223972
2012;Ano;Militar Estadual;TJMSP;TJM - São Paulo;41901219;419,01219;22;1430595864252;173106698940,17;45892344,82;39324612,86;28272715,21;3596438,8;5146183,7;0;110793,27;2198481,88;4711289,67;37053939,74;29778639,23;7275300,51;5158754,25;4631564,28;527189,97;332846,47;2123488,21;19769;2476103,68;0;0;2513585,8;301;273;6857;5814;1088;3033;1112;3110;280;0;34;266;233;4;3;0;0;11;23;268;0,475149622690606;3;33;0;2;31;0;0;0;0;2;120;0;21;99;0;0;0;0;21;14;7;7;14;7;7;7;7;0;130;31;99;0;0;0;1847;1501;346;756;431;325;1091;745;279;466;346;2822;2342;480;1172;406;766;1650;1170;579;591;480;2321;2017;304;1007;441;566;1314;1010;429;581;304;2794;2050;744;1183;502;681;1611;867;384;483;744;346;284;62;480;407;73;304;246;58;744;689;55;11;102;290;273;17;313;18;16;2;30;415;1163;1426;313;2779;879;9;2;0;33;59;10;1;91;42;829;635;nd;0;0;38;0;0;0;0;0;38;0;0;0;0;0;295;466;0;0;0;0;108;664;0;0;76;0;403;1130;3,20791818058241e-05;0,000265110160964143;0,856888289631743;0,102659597989136;0,807410035057782;0,648880316462331;0,158529718595451;0,112409907801264;1,09525082838282;0,0539546124677619;0,0547713526048591;0,0547713526048591;0;0;9,63862057570104;9,63862057570104;183,13379093832;157,660293702538;25,4734972357813;184,510736734848;0,328358208955224;1,1025641025641;0,847892664430509;0,0481596147230822;1,02538740520936;1033,3978202948;520,485511087856;512,912309206948;107,214285714286;108;106,428571428571;11,5461538461538;24,3870967741935;7,52525252525253;358;316,714285714286;276,285714285714;123;399,285714285714;0,502891411437139;0,477697095435685;0,472584856396867;0,631961259079903;0,520612914994528;199,571428571429;169;123,857142857143;106,285714285714;230,142857142857;0;0;1,25663237682729;1,33201058201058;1,35570469798658;0,878612716763006;1,20439963336389;0,356835769561479;0,112630442605254;0,191444600280505;0,0193401592718999;0,107843137254902;0,105625717566016;0,109770808202654;nd;nd
2012;Ano;Militar Estadual;TJMMG;TJM - Minas Gerais;19855332;198,55332;95;409371550134;62861878669,92;40852562,26;29667244,11;24926852,58;622827,27;3312506,09;543087,36;77546,89;184423,92;11185318,15;28862185,94;21336835,89;7525350,05;10044948,79;3320487,2;6724461,59;29199,56;521669,72;180297,07;731166,35;0;0;0;202;175;5901;4361;2180;1355;2180;1355;174;30;23;161;80;1;29;0;30;14;9;88;0,322357019064125;0;125;30;19;48;28;0;30;14;5;46;1;12;32;1;0;1;8;4;13;7;6;19;7;12;7;6;0;48;10;38;0;nd;0;3388;2541;847;1244;153;1091;2144;1297;469;828;847;2669;2075;594;275;41;234;2394;1800;998;802;594;4206;3128;1078;1339;164;1175;2867;1789;804;985;1078;3163;2842;321;1422;178;1244;1741;1420;510;910;321;847;38;809;594;40;554;1078;39;1039;321;18;303;0;0;106;92;14;140;24;9;15;45;99;961;1437;1075;3554;1461;0;0;0;nd;0;nd;118;336;164;1022;896;682;0;0;522;186;0;0;0;0;12;62;0;0;0;0;615;679;0;0;0;0;393;525;0;0;534;248;1008;1204;9,97933594716772e-05;0,000649878163433705;0,726202775757057;0,273797224242943;0,706496345475492;0,522288804168632;0,18420754130686;0,245882956522297;2,057510912434;0,0178976864497899;0;0;0;0;24,3780392358126;16,6797110560823;206,571806156096;101,361321033116;105,210485122981;112,908813302711;0,579545454545455;1,15428571428571;0,739027283511269;0,0398991057096996;1;3260,24198411578;1596,12004259742;1664,12194151837;195,461538461538;177,714285714286;216,166666666667;52,9375;124,4;34,1315789473684;480,153846153846;231,428571428571;521;249,333333333333;770,333333333333;0,305596830113918;0,118499012508229;0,422344204068453;0,251908396946565;0,368223887174967;243,307692307692;203,142857142857;236,666666666667;53,5;290,166666666667;0;nd;1,24144037780401;1,07636655948553;1,37933693138011;1,27272727272727;1,33722014925373;0,103017689906348;0,302476083286438;0,0640222686151705;0,00958247775496235;nd;0,382799325463744;0,328767123287671;1,66941793187784e-05;875,043303096011
2012;Ano;Militar Estadual;TJM;Justiça Militar Estadual;72527154;725,27154;NA;2119450624021;173106698940,17;107514552,05;89625705,15;72238975,02;4516681,01;9147039,8;747809,56;362591,86;2612607,9;15896607,82;84955532,91;61669075,8;23286457,11;16933940,78;9563553,22;7370387,56;779282,13;2645157,93;343816,54;3768256,6;0;0;2513585,8;623;568;16522;12591;4143;4524;4832;4601;587;64;93;548;342;5;54;0;64;38;55;414;0,404298874104401;3;241;59;47;85;50;0;59;25;22;205;6;44;154;1;0;6;11;33;39;20;19;48;21;27;20;20;1;220;60;160;0;0;0;6014;4663;1351;2303;816;1487;3711;2360;985;1375;1351;6521;5107;1414;1583;572;1011;4938;3524;2092;1432;1414;7348;5820;1528;2687;898;1789;4661;3133;1498;1635;1528;6954;5731;1223;3009;999;2010;3945;2722;1266;1456;1223;1351;480;871;1414;784;630;1528;431;1097;1223;865;358;13;127;435;404;31;493;47;30;17;80;533;2523;3332;1556;7018;2341;9;3;1;43;59;25;121;473;213;2059;2042;743;0;0;608;186;0;0;0;0;59;62;0;0;0;0;943;1145;0;0;0;0;515;1189;0;0;667;248;1458;2334;5,07275568637803e-05;0,000621088338627263;0,83361464509771;0,147855406704455;0,790177062454682;0,573588175964502;0,21658888649018;0,157503709564123;1,48240412204786;0,0350488052840285;0,0233790287181874;0,0233790287181874;0;0;17,8499709937971;14,5031014324602;203,787168845851;125,321671352284;78,4654974935666;153,9559998215;0,398550724637681;1,09683098591549;0,762074809345116;0,046620602017314;1,01702033598585;1734,05030716825;856,426733306558;877,623573861692;119,564102564103;115,15;124,210526315789;21,1954545454545;38,3833333333333;14,75;336,102564102564;216;312,210526315789;150,315789473684;462,526315789474;0,413801356202633;0,308543489449305;0,467539089055065;0,447377938517179;0,461093768065672;178,307692307692;150,45;143,263157894737;64,3684210526316;207,631578947368;0;0;1,22181576321916;1,16673903603995;1,32754237288136;1,13101406365655;1,25599568849367;0,211256440745145;0,221715588486748;0,12124849939976;0,0132422041862452;0,102362204724409;0,261443661971831;0,229723166585721;1,20573415558909e-05;276,302676008151
2013;Ano;Militar Estadual;TJMRS;TJM - Rio Grande do Sul;11164043;111,64043;74;307854475349;42108192988,1202;27247140,65;21859045,25;20075450,96;338959,61;723931,35;277027,72;170831,05;272844,56;0;20075450,96;11812015,96;8263435,27;1856073,95;1721585,2;134488,75;267643,4;0;283941,54;551584,94;0;0;0;120;120;3763;2416;875;136;1541;136;132;33;36;120;32;0;19;0;33;13;23;58;0,446732954545455;0;80;28;22;11;19;0;28;8;14;40;5;14;21;0;0;5;5;9;12;6;6;15;7;8;6;7;1;49;22;27;0;0;0;947;781;166;380;320;60;567;401;330;71;166;979;627;352;98;64;34;881;529;487;42;352;959;779;180;323;246;77;636;456;377;79;180;1001;835;166;376;308;68;625;459;392;67;166;166;161;5;352;349;3;180;178;2;166;161;5;4;35;57;54;3;57;24;24;0;24;62;394;398;226;1285;3;2;1;1;1;14;20;7;46;10;182;64;36;0;0;20;0;0;0;0;0;7;0;0;0;0;0;24;0;0;0;0;0;8;0;0;0;27;0;32;0;8,85065601827331e-05;0,000647074564745324;0,802250978581123;0;0,736791108391038;0,433513964335924;0,303277153964411;0,0681199533500408;2,44061588171955;0,0202437733590222;0;0;0;0;32,8083989501312;26,246719160105;262,46719160105;69,9912510936133;192,475940507437;126,859142607174;0,448275862068966;1;0,642040924794047;0,054635761589404;1;1708,2239720035;831,146106736658;877,077865266842;65,0833333333333;63,3333333333333;66,8333333333333;15,9387755102041;17,2727272727273;14,8518518518519;167,25;92,6666666666667;155,5;86,3333333333333;241,833333333333;0,502076843198338;0,324267782426778;0,509677419354839;0,652509652509653;0,560773480662983;83,4166666666667;62,6666666666667;76,5;27,6666666666667;104,166666666667;0;0;1,01267159450898;0,85;1,13715710723192;1,08433734939759;1,12169312169312;0,157360406091371;0,175875486381323;0,135678391959799;1;0,114285714285714;0,276041666666667;0,252747252747253;1,32123955546139e-06;78,740157480315
2013;Ano;Militar Estadual;TJMSP;TJM - São Paulo;43663669;436,63669;20;1575820385779;181306224897,907;48499670,66;43888253,21;31432276,6;3490679,77;5267455,56;0;154914,58;3542926,7;3139057,05;38513621,08;30992528,72;7521092,36;9448268,2;8428898,21;1019369,99;1039473,18;1529502,03;164181,45;2733156,66;0;0;2376326,81;294;250;6857;2200;1088;3033;1112;3110;273;0;39;259;220;3;3;0;0;11;28;269;0,434915348320844;0;33;0;2;28;3;0;0;0;2;214;0;26;188;0;0;0;0;26;14;7;7;14;7;7;7;7;0;116;28;88;0;0;0;2078;1777;301;826;486;340;1252;951;453;498;301;2348;1826;522;921;396;525;1427;905;429;476;522;2405;2036;369;1016;492;524;1389;1020;509;511;369;2861;2073;788;1231;684;547;1630;842;401;441;788;301;236;65;522;445;77;369;248;121;788;730;58;6;171;309;289;20;323;37;37;0;44;414;1174;1354;351;3574;946;0;5;1;41;109;21;3;94;48;625;944;0;0;0;45;0;0;0;0;0;13;0;0;0;0;0;296;498;0;0;0;0;89;463;0;0;58;0;385;961;3,07774103557014e-05;0,000267501409216975;0,904918582183214;0,0647232652775296;0,794100672352895;0,639025550034529;0,155075122318367;0,194810976475196;1,11075573287256;0,0563541282405896;0,0489967617854335;0,0489967617854335;0;0;9,76004238646979;9,76004238646979;180,560784149691;151,280656990282;29,2801271594094;187,53224299717;0,312267657992565;1,176;0,320840017500365;0,124090909090909;1,02538740520936;1238,82823719692;575,842500801718;662,985736395198;126,928571428571;118;135,857142857143;15,3189655172414;29,5;10,8068181818182;342,357142857143;296,142857142857;268;120,571428571429;388,571428571429;0,456619972887483;0,418431597023469;0,450431034482759;0,551640340218712;0,481522956326988;204,357142857143;175,857142857143;120,285714285714;112,571428571429;232,857142857143;0;0;1,15736284889317;1,23002421307506;1,07255520504732;1,22591362126246;1,1094249201278;0,352640545144804;0,0982092893116956;0,213441654357459;0,0211416490486258;0,0350877192982456;0,144130757800892;0,1504;0;0
2013;Ano;Militar Estadual;TJMMG;TJM - Minas Gerais;20593356;205,93356;96;450928211229;65839450358,7214;34919761,04;32678460,92;26752814,95;1596271,76;3235700,96;754796,18;181450,21;157426,86;2241300,12;31584787,67;23600967,63;7983820,04;3334973,37;2669440,48;665532,89;415038,95;786420,49;216874,79;1418334,23;0;0;0;200;152;6791;5251;1678;1615;2635;1259;198;27;50;185;78;0;30;0;27;34;16;88;0,182003494467094;0;137;27;34;47;29;0;27;31;3;48;0;16;31;1;0;0;3;13;13;7;6;19;7;12;7;6;0;74;42;32;0;0;0;2604;1946;658;1030;238;792;1574;916;479;437;658;1851;1488;363;180;30;150;1671;1308;663;645;363;3492;2809;683;1012;210;802;2480;1797;918;879;683;3081;2352;729;1131;252;879;1950;1221;664;557;729;658;54;604;363;39;324;683;33;650;729;29;700;0;21;125;121;4;196;10;8;2;60;79;709;1389;762;1674;568;0;0;0;8;0;13;51;605;68;806;712;414;0;0;477;61;0;0;0;0;20;26;0;0;0;0;376;376;0;0;0;0;72;285;0;0;497;87;448;661;7,7439734685986e-05;0,00053037746897555;0,935815708548732;0,0641842914512682;0,904496099896565;0,675862804529661;0,228633295366903;0,0955039001034355;1,69568092932497;0,0406169511977852;0;0;0;0;24,2777373148823;16,6110834259721;236,388494908064;99,6665005558324;136,721994352232;112,444257037349;0,568181818181818;1,31578947368421;0,77322927403917;0,0377071034088745;0,779566563467492;2486,5514113032;1316,10891759625;1170,44249370695;149,692307692308;147,142857142857;152,666666666667;26,2972972972973;24,5238095238095;28,625;362,384615384615;191,285714285714;371,666666666667;190,333333333333;562;0,216161616161616;0,163636363636364;0,191996402877698;0,331047992164545;0,235747303543914;237;161,571428571429;203,5;121,5;325;0;0;1,34101382488479;0,98252427184466;1,9617903930131;1,03799392097264;1,57560355781449;0,111424541607898;0,455197132616487;0,0871130309575234;0,00704225352112676;0;0,750572082379863;0,750620347394541;1,18557512328269e-05;528,999118334803
2013;Ano;Militar Estadual;TJM;Justiça Militar Estadual;75421068;754,21068;NA;2334603072357;181306224897,907;110666572,35;98425759,38;78260542,51;5425911,14;9227087,87;1031823,9;507195,84;3973198,12;5380357,17;90173859,71;66405512,31;23768347,67;14639315,52;12819923,89;1819391,63;1722155,53;2315922,52;664997,78;4703075,83;0;0;2376326,81;614;522;17411;9867;3641;4784;5288;4505;603;60;125;564;330;3;52;0;60;58;67;415;0,334043812907046;0;250;55;58;86;51;0;55;39;19;302;5;56;240;1;0;5;8;48;39;20;19;48;21;27;20;20;1;239;92;147;0;0;0;5629;4504;1125;2236;1044;1192;3393;2268;1262;1006;1125;5178;3941;1237;1199;490;709;3979;2742;1579;1163;1237;6856;5624;1232;2351;948;1403;4505;3273;1804;1469;1232;6943;5260;1683;2738;1244;1494;4205;2522;1457;1065;1683;1125;451;674;1237;833;404;1232;459;773;1683;920;763;10;227;491;464;27;576;71;69;2;128;555;2277;3141;1339;6533;1517;2;6;2;50;123;54;61;745;126;1613;1720;450;0;0;542;61;0;0;0;0;40;26;0;0;0;0;696;874;0;0;0;0;169;748;0;0;582;87;865;1622;4,74027356771495e-05;0,000610384847030575;0,889390149978744;0,0486177267059812;0,814824727965834;0,600050321428429;0,214774408977166;0,132283084305719;1,46731643139819;0,0424977093817074;0,0214728509209132;0,0214728509209132;0;0;17,9490918881323;14,5836371591075;210,901829685554;122,278188487901;88,6236411976532;155,184856949477;0,385542168674699;1,17624521072797;0,5667107001321;0,061112800243235;0,941680602006689;1684,22312216975;836,128530455496;848,09459171425;115,487179487179;111,8;119,368421052632;18,8451882845188;24,304347826087;15,4285714285714;295,153846153846;198,4;265,210526315789;131,789473684211;397;0,365596372721384;0,315574963609898;0,346706586826347;0,478408128704488;0,388903960933261;178,025641025641;136,9;132,736842105263;88,5789473684211;221,315789473684;0;0;1,21797832652336;1,05143112701252;1,44312169312169;1,09511111111111;1,32773356911288;0,243741765480896;0,204959436705954;0,147723654886979;0,017798286090969;0,0440528634361234;0,463484761357102;0,46187228766274;4,06626852575506e-06;168,27273645124
